City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Gidam,IN,2022-07-22 20:17:33,18.9833,81.4,74.01,98,100,3.42
282,Pisco,PE,2022-07-22 20:17:34,-13.7,-76.2167,62.65,77,40,10.36
283,Sur,OM,2022-07-22 20:14:07,22.5667,59.5289,87.6,67,99,9.71
284,Vrises,GR,2022-07-22 20:17:34,35.492,23.8899,79.56,42,0,5.1
285,Ercis,TR,2022-07-22 20:17:35,39.0287,43.3586,66.43,45,4,1.34
286,Oriximina,BR,2022-07-22 20:17:35,-1.7656,-55.8661,87.98,55,78,5.7
287,Umm Lajj,SA,2022-07-22 20:17:35,25.0213,37.2685,89.19,49,76,7.54
288,Atar,MR,2022-07-22 20:17:36,20.5169,-13.0499,85.77,55,80,8.79
289,Catarama,EC,2022-07-22 20:17:36,-1.5833,-79.4667,81.64,61,100,1.72
290,Balkanabat,TM,2022-07-22 20:17:36,39.5108,54.3671,80.22,61,0,8.14
291,Ayagoz,KZ,2022-07-22 20:17:37,47.9714,80.4392,68.04,36,100,15.35
292,Faya,SA,2022-07-22 20:17:37,18.3851,42.4509,69.91,44,87,3.6
293,Boralday,KZ,2022-07-22 20:17:38,43.3578,76.8594,76.86,29,20,4.47
